field_name,filename,start_date,end_date,yield
Field1,Field1_20241121_20241201.tif,20241121,20241201,0.9
Field5,Field5_20241201_20241211.tif,20241201,20241211,1.4
Field3,Field3_20250209_20250219.tif,20250209,20250219,1.6
Field1,Field1_20250219_20250301.tif,20250219,20250301,0.9
Field6,Field6_20250410_20250420.tif,20250410,20250420,1.1
Field4,Field4_20250510_20250520.tif,20250510,20250520,0.7
Field7,Field7_20250430_20250510.tif,20250430,20250510,1.4
Field3,Field3_20250321_20250331.tif,20250321,20250331,1.6
Field7,Field7_20250321_20250331.tif,20250321,20250331,1.4
Field6,Field6_20241231_20250110.tif,20241231,20250110,1.1
Field2,Field2_20241211_20241221.tif,20241211,20241221,1.3
Field3,Field3_20241201_20241211.tif,20241201,20241211,1.6
Field6,Field6_20250520_20250530.tif,20250520,20250530,1.1
Field4,Field4_20250120_20250130.tif,20250120,20250130,0.7
Field8,Field8_20250321_20250331.tif,20250321,20250331,2.14
Field7,Field7_20241201_20241211.tif,20241201,20241211,1.4
Field7,Field7_20250331_20250410.tif,20250331,20250410,1.4
Field3,Field3_20241101_20241111.tif,20241101,20241111,1.6
Field1,Field1_20241211_20241221.tif,20241211,20241221,0.9
Field3,Field3_20250110_20250120.tif,20250110,20250120,1.6
Field1,Field1_20241111_20241121.tif,20241111,20241121,0.9
Field2,Field2_20250331_20250410.tif,20250331,20250410,1.3
Field1,Field1_20250510_20250520.tif,20250510,20250520,0.9
Field7,Field7_20250120_20250130.tif,20250120,20250130,1.4
Field7,Field7_20250110_20250120.tif,20250110,20250120,1.4
Field5,Field5_20250219_20250301.tif,20250219,20250301,1.4
Field4,Field4_20250420_20250430.tif,20250420,20250430,0.7
Field8,Field8_20250219_20250301.tif,20250219,20250301,2.14
Field7,Field7_20241121_20241201.tif,20241121,20241201,1.4
Field3,Field3_20241211_20241221.tif,20241211,20241221,1.6
Field6,Field6_20250219_20250301.tif,20250219,20250301,1.1
Field5,Field5_20250520_20250530.tif,20250520,20250530,1.4
Field2,Field2_20241101_20241111.tif,20241101,20241111,1.3
Field1,Field1_20241231_20250110.tif,20241231,20250110,0.9
Field4,Field4_20241221_20241231.tif,20241221,20241231,0.7
Field2,Field2_20250321_20250331.tif,20250321,20250331,1.3
Field6,Field6_20250510_20250520.tif,20250510,20250520,1.1
Field3,Field3_20241221_20241231.tif,20241221,20241231,1.6
Field5,Field5_20250110_20250120.tif,20250110,20250120,1.4
Field8,Field8_20250331_20250410.tif,20250331,20250410,2.14
Field8,Field8_20250120_20250130.tif,20250120,20250130,2.14
Field1,Field1_20250520_20250530.tif,20250520,20250530,0.9
Field4,Field4_20250520_20250530.tif,20250520,20250530,0.7
Field6,Field6_20241111_20241121.tif,20241111,20241121,1.1
Field3,Field3_20241231_20250110.tif,20241231,20250110,1.6
Field5,Field5_20250321_20250331.tif,20250321,20250331,1.4
Field6,Field6_20250331_20250410.tif,20250331,20250410,1.1
Field1,Field1_20250430_20250510.tif,20250430,20250510,0.9
Field4,Field4_20250430_20250510.tif,20250430,20250510,0.7
Field1,Field1_20250130_20250209.tif,20250130,20250209,0.9
Field1,Field1_20250110_20250120.tif,20250110,20250120,0.9
Field4,Field4_20250301_20250311.tif,20250301,20250311,0.7
Field6,Field6_20250120_20250130.tif,20250120,20250130,1.1
Field8,Field8_20241121_20241201.tif,20241121,20241201,2.14
Field2,Field2_20250311_20250321.tif,20250311,20250321,1.3
Field7,Field7_20250420_20250430.tif,20250420,20250430,1.4
Field6,Field6_20250209_20250219.tif,20250209,20250219,1.1
Field1,Field1_20250331_20250410.tif,20250331,20250410,0.9
Field7,Field7_20250311_20250321.tif,20250311,20250321,1.4
Field3,Field3_20250410_20250420.tif,20250410,20250420,1.6
Field8,Field8_20250130_20250209.tif,20250130,20250209,2.14
Field1,Field1_20250410_20250420.tif,20250410,20250420,0.9
Field4,Field4_20241231_20250110.tif,20241231,20250110,0.7
Field2,Field2_20250430_20250510.tif,20250430,20250510,1.3
Field6,Field6_20241221_20241231.tif,20241221,20241231,1.1
Field8,Field8_20241101_20241111.tif,20241101,20241111,2.14
Field7,Field7_20250410_20250420.tif,20250410,20250420,1.4
Field2,Field2_20250130_20250209.tif,20250130,20250209,1.3
Field8,Field8_20250420_20250430.tif,20250420,20250430,2.14
Field8,Field8_20250430_20250510.tif,20250430,20250510,2.14
Field6,Field6_20250311_20250321.tif,20250311,20250321,1.1
Field6,Field6_20241201_20241211.tif,20241201,20241211,1.1
Field5,Field5_20250311_20250321.tif,20250311,20250321,1.4
Field5,Field5_20250420_20250430.tif,20250420,20250430,1.4
Field7,Field7_20250510_20250520.tif,20250510,20250520,1.4
Field8,Field8_20250209_20250219.tif,20250209,20250219,2.14
Field6,Field6_20241121_20241201.tif,20241121,20241201,1.1
Field4,Field4_20250311_20250321.tif,20250311,20250321,0.7
Field2,Field2_20241221_20241231.tif,20241221,20241231,1.3
Field3,Field3_20250520_20250530.tif,20250520,20250530,1.6
Field8,Field8_20250510_20250520.tif,20250510,20250520,2.14
Field7,Field7_20241221_20241231.tif,20241221,20241231,1.4
Field5,Field5_20241121_20241201.tif,20241121,20241201,1.4
Field8,Field8_20250301_20250311.tif,20250301,20250311,2.14
Field8,Field8_20241111_20241121.tif,20241111,20241121,2.14
Field5,Field5_20250331_20250410.tif,20250331,20250410,1.4
Field7,Field7_20250209_20250219.tif,20250209,20250219,1.4
Field5,Field5_20250430_20250510.tif,20250430,20250510,1.4
Field1,Field1_20250301_20250311.tif,20250301,20250311,0.9
Field2,Field2_20241111_20241121.tif,20241111,20241121,1.3
Field4,Field4_20241211_20241221.tif,20241211,20241221,0.7
Field3,Field3_20250120_20250130.tif,20250120,20250130,1.6
Field6,Field6_20250321_20250331.tif,20250321,20250331,1.1
Field4,Field4_20241101_20241111.tif,20241101,20241111,0.7
Field7,Field7_20241211_20241221.tif,20241211,20241221,1.4
Field2,Field2_20241121_20241201.tif,20241121,20241201,1.3
Field7,Field7_20250130_20250209.tif,20250130,20250209,1.4
Field1,Field1_20250321_20250331.tif,20250321,20250331,0.9
Field3,Field3_20250301_20250311.tif,20250301,20250311,1.6
Field2,Field2_20250420_20250430.tif,20250420,20250430,1.3
Field7,Field7_20241111_20241121.tif,20241111,20241121,1.4
Field8,Field8_20241201_20241211.tif,20241201,20241211,2.14
Field4,Field4_20250130_20250209.tif,20250130,20250209,0.7
Field6,Field6_20250420_20250430.tif,20250420,20250430,1.1
Field4,Field4_20241201_20241211.tif,20241201,20241211,0.7
Field4,Field4_20250219_20250301.tif,20250219,20250301,0.7
Field4,Field4_20250331_20250410.tif,20250331,20250410,0.7
Field6,Field6_20250301_20250311.tif,20250301,20250311,1.1
Field7,Field7_20250301_20250311.tif,20250301,20250311,1.4
Field3,Field3_20250510_20250520.tif,20250510,20250520,1.6
Field3,Field3_20241121_20241201.tif,20241121,20241201,1.6
Field4,Field4_20250410_20250420.tif,20250410,20250420,0.7
Field2,Field2_20250120_20250130.tif,20250120,20250130,1.3
Field4,Field4_20250321_20250331.tif,20250321,20250331,0.7
Field6,Field6_20250110_20250120.tif,20250110,20250120,1.1
Field8,Field8_20250110_20250120.tif,20250110,20250120,2.14
Field4,Field4_20250110_20250120.tif,20250110,20250120,0.7
Field7,Field7_20241231_20250110.tif,20241231,20250110,1.4
Field6,Field6_20250430_20250510.tif,20250430,20250510,1.1
Field8,Field8_20241221_20241231.tif,20241221,20241231,2.14
Field5,Field5_20241231_20250110.tif,20241231,20250110,1.4
Field5,Field5_20250301_20250311.tif,20250301,20250311,1.4
Field8,Field8_20241211_20241221.tif,20241211,20241221,2.14
Field4,Field4_20241111_20241121.tif,20241111,20241121,0.7
Field5,Field5_20241111_20241121.tif,20241111,20241121,1.4
Field5,Field5_20241221_20241231.tif,20241221,20241231,1.4
Field7,Field7_20250219_20250301.tif,20250219,20250301,1.4
Field3,Field3_20250311_20250321.tif,20250311,20250321,1.6
Field1,Field1_20241221_20241231.tif,20241221,20241231,0.9
Field5,Field5_20241101_20241111.tif,20241101,20241111,1.4
Field2,Field2_20250110_20250120.tif,20250110,20250120,1.3
Field1,Field1_20250120_20250130.tif,20250120,20250130,0.9
Field3,Field3_20250430_20250510.tif,20250430,20250510,1.6
Field2,Field2_20250301_20250311.tif,20250301,20250311,1.3
Field5,Field5_20250410_20250420.tif,20250410,20250420,1.4
Field3,Field3_20250219_20250301.tif,20250219,20250301,1.6
Field5,Field5_20241211_20241221.tif,20241211,20241221,1.4
Field3,Field3_20250331_20250410.tif,20250331,20250410,1.6
Field8,Field8_20250410_20250420.tif,20250410,20250420,2.14
Field1,Field1_20241101_20241111.tif,20241101,20241111,0.9
Field2,Field2_20241201_20241211.tif,20241201,20241211,1.3
Field8,Field8_20250520_20250530.tif,20250520,20250530,2.14
Field6,Field6_20250130_20250209.tif,20250130,20250209,1.1
Field3,Field3_20241111_20241121.tif,20241111,20241121,1.6
Field1,Field1_20250311_20250321.tif,20250311,20250321,0.9
Field6,Field6_20241211_20241221.tif,20241211,20241221,1.1
Field5,Field5_20250510_20250520.tif,20250510,20250520,1.4
Field5,Field5_20250209_20250219.tif,20250209,20250219,1.4
Field4,Field4_20250209_20250219.tif,20250209,20250219,0.7
Field2,Field2_20250410_20250420.tif,20250410,20250420,1.3
Field6,Field6_20241101_20241111.tif,20241101,20241111,1.1
Field1,Field1_20250420_20250430.tif,20250420,20250430,0.9
Field8,Field8_20241231_20250110.tif,20241231,20250110,2.14
Field1,Field1_20241201_20241211.tif,20241201,20241211,0.9
Field4,Field4_20241121_20241201.tif,20241121,20241201,0.7
Field3,Field3_20250130_20250209.tif,20250130,20250209,1.6
Field7,Field7_20241101_20241111.tif,20241101,20241111,1.4
Field5,Field5_20250120_20250130.tif,20250120,20250130,1.4
Field7,Field7_20250520_20250530.tif,20250520,20250530,1.4
Field5,Field5_20250130_20250209.tif,20250130,20250209,1.4
Field2,Field2_20250520_20250530.tif,20250520,20250530,1.3
Field2,Field2_20250209_20250219.tif,20250209,20250219,1.3
Field2,Field2_20250219_20250301.tif,20250219,20250301,1.3
Field8,Field8_20250311_20250321.tif,20250311,20250321,2.14
Field3,Field3_20250420_20250430.tif,20250420,20250430,1.6
