field_name,filename,start_date,end_date,yield
Field5,Field5_20241201_20241211.tif,20241201,20241211,1.4
Field3,Field3_20250209_20250219.tif,20250209,20250219,1.6
Field6,Field6_20241231_20250110.tif,20241231,20250110,1.1
Field2,Field2_20241211_20241221.tif,20241211,20241221,1.3
Field3,Field3_20241201_20241211.tif,20241201,20241211,1.6
Field4,Field4_20250120_20250130.tif,20250120,20250130,0.7
Field8,Field8_20250219_20250228.tif,20250219,20250228,2.14
Field7,Field7_20241201_20241211.tif,20241201,20241211,1.4
Field1,Field1_20241211_20241221.tif,20241211,20241221,0.9
Field3,Field3_20250110_20250120.tif,20250110,20250120,1.6
Field7,Field7_20250120_20250130.tif,20250120,20250130,1.4
Field7,Field7_20250110_20250120.tif,20250110,20250120,1.4
Field3,Field3_20241211_20241221.tif,20241211,20241221,1.6
Field1,Field1_20241231_20250110.tif,20241231,20250110,0.9
Field4,Field4_20241221_20241231.tif,20241221,20241231,0.7
Field3,Field3_20241221_20241231.tif,20241221,20241231,1.6
Field5,Field5_20250110_20250120.tif,20250110,20250120,1.4
Field8,Field8_20250120_20250130.tif,20250120,20250130,2.14
Field3,Field3_20241231_20250110.tif,20241231,20250110,1.6
Field1,Field1_20250130_20250209.tif,20250130,20250209,0.9
Field1,Field1_20250110_20250120.tif,20250110,20250120,0.9
Field6,Field6_20250120_20250130.tif,20250120,20250130,1.1
Field6,Field6_20250209_20250219.tif,20250209,20250219,1.1
Field4,Field4_20250219_20250228.tif,20250219,20250228,0.7
Field8,Field8_20250130_20250209.tif,20250130,20250209,2.14
Field4,Field4_20241231_20250110.tif,20241231,20250110,0.7
Field6,Field6_20241221_20241231.tif,20241221,20241231,1.1
Field2,Field2_20250130_20250209.tif,20250130,20250209,1.3
Field6,Field6_20241201_20241211.tif,20241201,20241211,1.1
Field8,Field8_20250209_20250219.tif,20250209,20250219,2.14
Field2,Field2_20241221_20241231.tif,20241221,20241231,1.3
Field7,Field7_20241221_20241231.tif,20241221,20241231,1.4
Field7,Field7_20250209_20250219.tif,20250209,20250219,1.4
Field4,Field4_20241211_20241221.tif,20241211,20241221,0.7
Field3,Field3_20250120_20250130.tif,20250120,20250130,1.6
Field7,Field7_20241211_20241221.tif,20241211,20241221,1.4
Field7,Field7_20250130_20250209.tif,20250130,20250209,1.4
Field3,Field3_20250219_20250228.tif,20250219,20250228,1.6
Field8,Field8_20241201_20241211.tif,20241201,20241211,2.14
Field4,Field4_20250130_20250209.tif,20250130,20250209,0.7
Field4,Field4_20241201_20241211.tif,20241201,20241211,0.7
Field2,Field2_20250219_20250228.tif,20250219,20250228,1.3
Field2,Field2_20250120_20250130.tif,20250120,20250130,1.3
Field6,Field6_20250110_20250120.tif,20250110,20250120,1.1
Field1,Field1_20250219_20250228.tif,20250219,20250228,0.9
Field8,Field8_20250110_20250120.tif,20250110,20250120,2.14
Field4,Field4_20250110_20250120.tif,20250110,20250120,0.7
Field7,Field7_20241231_20250110.tif,20241231,20250110,1.4
Field8,Field8_20241221_20241231.tif,20241221,20241231,2.14
Field5,Field5_20241231_20250110.tif,20241231,20250110,1.4
Field8,Field8_20241211_20241221.tif,20241211,20241221,2.14
Field5,Field5_20241221_20241231.tif,20241221,20241231,1.4
Field1,Field1_20241221_20241231.tif,20241221,20241231,0.9
Field2,Field2_20250110_20250120.tif,20250110,20250120,1.3
Field1,Field1_20250120_20250130.tif,20250120,20250130,0.9
Field5,Field5_20241211_20241221.tif,20241211,20241221,1.4
Field2,Field2_20241201_20241211.tif,20241201,20241211,1.3
Field6,Field6_20250130_20250209.tif,20250130,20250209,1.1
Field6,Field6_20241211_20241221.tif,20241211,20241221,1.1
Field6,Field6_20250219_20250228.tif,20250219,20250228,1.1
Field5,Field5_20250209_20250219.tif,20250209,20250219,1.4
Field4,Field4_20250209_20250219.tif,20250209,20250219,0.7
Field8,Field8_20241231_20250110.tif,20241231,20250110,2.14
Field1,Field1_20241201_20241211.tif,20241201,20241211,0.9
Field7,Field7_20250219_20250228.tif,20250219,20250228,1.4
Field3,Field3_20250130_20250209.tif,20250130,20250209,1.6
Field5,Field5_20250120_20250130.tif,20250120,20250130,1.4
Field5,Field5_20250130_20250209.tif,20250130,20250209,1.4
Field2,Field2_20250209_20250219.tif,20250209,20250219,1.3
Field2,Field2_20241231_20250110.tif,20241231,20250110,1.3
Field5,Field5_20250219_20250228.tif,20250219,20250228,1.4
Field1,Field1_20250209_20250219.tif,20250209,20250219,0.9
